to_region,avg_days_to_popular
Slovakia,0.4444444444444444
United States,0.75
Australia,0.9047619047619048
Estonia,0.9411764705882353
Hungary,0.96875
Canada,1.6538461538461537
Iceland,1.6923076923076923
Global,1.7
Bulgaria,2.0
Italy,2.6842105263157894
Guatemala,3.0833333333333335
Austria,3.1153846153846154
New Zealand,3.1904761904761907
Dominican Republic,3.4166666666666665
Finland,3.5238095238095237
Latvia,3.7333333333333334
Denmark,3.8181818181818183
Sweden,3.8666666666666667
Philippines,4.0
Switzerland,4.173913043478261
Colombia,4.5
Ireland,4.777777777777778
Spain,5.0
United Kingdom,5.0
Netherlands,5.043478260869565
Portugal,5.586206896551724
Panama,5.833333333333333
Greece,5.9
Poland,6.230769230769231
Bolivia,6.545454545454546
Norway,6.571428571428571
Mexico,6.833333333333333
Turkey,7.5
Taiwan,8.068376068376068
Brazil,8.1875
Germany,8.545454545454545
Costa Rica,9.181818181818182
Czech Republic,9.833333333333334
Hong Kong,10.460526315789474
Lithuania,11.4
Belgium,12.347826086956522
El Salvador,12.666666666666666
Paraguay,14.375
Honduras,14.428571428571429
Indonesia,15.434782608695652
Uruguay,16.333333333333332
France,16.6
Malaysia,19.641509433962263
Singapore,23.313725490196077
Argentina,26.454545454545453
Thailand,30.866666666666667
South Africa,55.888888888888886
Israel,58.111111111111114
Romania,61.285714285714285
Ecuador,62.90909090909091
Vietnam,73.8108108108108
Chile,106.58333333333333
Russia,145.0
Peru,147.6875
Saudi Arabia,190.0
United Arab Emirates,213.42857142857142
Luxembourg,224.0
India,282.0
Nicaragua,319.0
Ukraine,356.0
Morocco,364.6666666666667
South Korea,373.2142857142857
Egypt,597.25
