to_region,avg_days_to_popular
United States,3.0210526315789474
Ireland,4.704787234042553
Canada,4.858695652173913
Argentina,5.833333333333333
Egypt,7.857142857142857
Global,8.09032258064516
Norway,9.49090909090909
South Africa,10.28688524590164
Honduras,10.333333333333334
Philippines,11.457142857142857
Sweden,12.024390243902438
Russia,12.166666666666666
Poland,12.225806451612904
Singapore,12.557692307692308
Malaysia,12.681818181818182
Brazil,12.928571428571429
New Zealand,12.98936170212766
Hong Kong,13.0625
Australia,14.142857142857142
India,14.357142857142858
Portugal,14.6125
Denmark,14.867469879518072
Netherlands,15.7375
Japan,17.733333333333334
Hungary,18.66923076923077
Belgium,18.838709677419356
Greece,19.63095238095238
Czech Republic,19.867469879518072
Finland,19.96875
France,20.029411764705884
Lithuania,20.375
El Salvador,21.4
Estonia,21.945454545454545
Switzerland,22.82608695652174
Thailand,23.12121212121212
Slovakia,23.3015873015873
Latvia,23.610169491525422
Bulgaria,23.63157894736842
Uruguay,24.857142857142858
Guatemala,26.8
Spain,27.0
Mexico,27.0
Bolivia,27.5
Austria,27.794117647058822
Ukraine,27.833333333333332
Taiwan,28.06779661016949
Romania,29.0
Panama,29.4375
Germany,29.482142857142858
Ecuador,30.0
Italy,30.0
Vietnam,31.166666666666668
Iceland,31.253164556962027
Morocco,37.0625
Chile,38.125
Peru,38.42857142857143
Turkey,39.6875
United Arab Emirates,41.94736842105263
Colombia,43.5
Luxembourg,45.785714285714285
Dominican Republic,45.875
Costa Rica,48.05263157894737
Saudi Arabia,48.233333333333334
Israel,50.12903225806452
Indonesia,64.62962962962963
Nicaragua,67.8
Paraguay,85.11111111111111
South Korea,137.7
