to_region,avg_days_until_chart,median_days_until_chart,min_days_until_chart,max_days_until_chart
South Korea,118.47984267453295,0.0,0,1751
Saudi Arabia,54.959286112660344,0.0,0,1649
Egypt,50.52826310380267,0.0,0,1348
India,45.26588465298143,0.0,0,1445
United Arab Emirates,44.925078510542846,0.0,0,1780
Ukraine,38.013910355486864,0.0,0,1285
Nicaragua,35.406651549508695,0.0,0,1586
Luxembourg,27.6580310880829,1.0,0,1273
Russia,25.640807651434645,0.0,0,1271
Morocco,25.246953175112253,0.0,0,1356
Paraguay,21.996610169491525,0.0,0,1757
Israel,21.861031518624642,0.0,0,1263
Romania,20.390524625267666,0.0,0,1286
Lithuania,19.311208151382825,0.0,0,1635
Vietnam,19.184187662901824,0.0,0,1517
Bolivia,18.865704772475027,0.0,0,1279
Bulgaria,18.795354951796668,0.0,0,1322
Costa Rica,18.57620578778135,0.0,0,1279
Thailand,17.17529330572809,0.0,0,1281
Portugal,17.027210884353742,0.0,0,1758
El Salvador,16.69005397070162,0.0,0,1281
South Africa,16.363562533838657,0.0,0,1628
Peru,16.162099575453492,0.0,0,1280
Ecuador,16.136298932384342,0.0,0,1337
Guatemala,15.97206132879046,0.0,0,1281
Latvia,15.968023255813954,0.0,0,1685
Honduras,15.434305187429004,0.0,0,1281
Turkey,15.195936139332366,0.0,0,1269
Estonia,15.140536957242293,0.0,0,1279
Philippines,14.47853676745054,0.0,0,1436
Italy,14.12829268292683,0.0,0,1066
Indonesia,13.337455125648185,0.0,0,1276
Mexico,13.256983240223464,0.0,0,1282
Finland,13.121366649668536,0.0,0,1277
Slovakia,13.103233532934132,0.0,0,1290
Iceland,12.62071262071262,0.0,0,1309
Poland,12.435643564356436,0.0,0,1289
Greece,12.361560923812052,0.0,0,1262
Spain,12.101828499369484,0.0,0,1268
Netherlands,11.99000999000999,0.0,0,1266
Chile,11.93025676613463,0.0,0,1280
Argentina,11.817995210400273,0.0,0,1277
Japan,11.702298850574712,0.0,0,1292
Panama,11.560082063305979,0.0,0,1280
Uruguay,11.436954559133314,0.0,0,1277
Singapore,10.518195413758724,0.0,0,1277
France,10.442645074224021,0.0,0,1270
Brazil,10.270857814336075,0.0,0,1280
Dominican Republic,10.073967339097022,0.0,0,1281
Colombia,10.070620500514227,0.0,0,1279
Hungary,9.988259526261587,0.0,0,1259
Hong Kong,9.955049445609829,0.0,0,1289
Belgium,9.675181916705373,0.0,0,1265
Denmark,9.611330326944758,0.0,0,1264
Czech Republic,9.604106226288774,0.0,0,1289
Malaysia,9.558002936857562,0.0,0,1274
New Zealand,9.464454976303317,0.0,0,1278
Australia,9.329091371850344,0.0,0,1278
Norway,8.835856103793985,0.0,0,1306
Austria,8.627295149355987,0.0,0,1812
Ireland,8.578546427836113,0.0,0,1306
Global,8.089678001805597,0.0,0,1264
Sweden,7.83857822051166,0.0,0,1259
Taiwan,7.234841193455245,0.0,0,1418
United Kingdom,6.545681861896519,0.0,0,1307
Switzerland,6.514233340521889,0.0,0,1262
Germany,6.47641302760333,0.0,0,1262
Canada,4.896217418944691,0.0,0,1427
United States,3.4877129503995175,0.0,0,1283
