to_region,avg_days_to_popular
United States,0.025
Egypt,0.08333333333333333
Malaysia,0.28
Argentina,0.3
Hong Kong,0.36363636363636365
Singapore,0.375
Australia,0.6153846153846154
Indonesia,0.7857142857142857
Japan,0.9444444444444444
Colombia,1.0666666666666667
Canada,1.0833333333333333
India,1.1428571428571428
Philippines,1.4736842105263157
Brazil,1.5
Nicaragua,2.0
New Zealand,2.2432432432432434
Lithuania,2.4444444444444446
Switzerland,2.513483146067416
Costa Rica,2.5652173913043477
Panama,2.888888888888889
Bolivia,3.0
Dominican Republic,3.3157894736842106
Paraguay,3.5
Guatemala,3.857142857142857
Uruguay,4.2
El Salvador,4.454545454545454
Honduras,4.615384615384615
Peru,4.875
Belgium,4.934006211180124
Thailand,6.0
Ecuador,6.384615384615385
Turkey,6.833333333333333
Taiwan,7.074074074074074
South Africa,7.1
Vietnam,8.272727272727273
Latvia,9.325
Mexico,10.142857142857142
Estonia,10.342105263157896
South Korea,11.75
Global,14.357142857142858
Poland,14.8
Israel,15.15
United Kingdom,23.15686274509804
Luxembourg,25.065934065934066
Norway,25.166666666666668
Morocco,25.374558303886925
Netherlands,26.49230769230769
Denmark,29.29787234042553
Portugal,29.80392156862745
Sweden,30.23404255319149
Ireland,30.636363636363637
Italy,30.88888888888889
Finland,31.085106382978722
Germany,31.263157894736842
Greece,32.26190476190476
Czech Republic,36.073170731707314
Hungary,36.125
Slovakia,37.80487804878049
Iceland,38.125
Chile,42.1
Romania,43.68571428571428
Bulgaria,47.733333333333334
Austria,49.28125
Spain,51.78260869565217
United Arab Emirates,62.9
Russia,107.66666666666667
Saudi Arabia,112.5625
Ukraine,113.66666666666667
