to_region,avg_days_to_popular
France, 0.0
Luxembourg,82.0
Estonia,98.0
Iceland,101.0
Sweden,133.0
Brazil,134.0
Finland,136.0
Taiwan,138.0
Lithuania,139.0
Dominican Republic,139.0
Germany,141.0
Switzerland,141.0
Norway,143.0
Poland,143.0
Netherlands,143.0
Italy,152.0
Austria,153.0
Belgium,156.0
Turkey,158.0
United Kingdom,158.0
Ireland,159.0
Latvia,159.0
Greece,160.0
Panama,160.0
Spain,166.0
Paraguay,167.0
Uruguay,169.0
Global,172.0
Denmark,172.0
Canada,172.0
Portugal,174.0
Argentina,176.0
Thailand,176.0
Philippines,180.0
United States,181.0
Mexico,183.0
Slovakia,184.0
Hong Kong,185.0
Israel,185.0
Bulgaria,185.0
Colombia,185.0
Australia,187.0
Czech Republic,188.0
Morocco,189.0
New Zealand,190.0
Indonesia,191.0
Guatemala,194.0
Hungary,195.0
Honduras,197.0
Chile,198.0
Costa Rica,198.0
Japan,202.0
South Africa,202.0
Bolivia,203.0
Ecuador,206.0
Malaysia,207.0
Singapore,209.0
Peru,210.0
El Salvador,215.0
Romania,232.0
Egypt,234.0
United Arab Emirates,248.0
Nicaragua,260.0
Vietnam,267.0
Saudi Arabia,290.0
Russia,291.0
South Korea,311.0
India,327.0
Ukraine,330.0
