to_region,avg_days_to_popular
Japan, 0.0
Luxembourg,62.0
Estonia,86.0
Iceland,100.0
Lithuania,109.0
France,111.0
Dominican Republic,117.0
Turkey,122.0
Uruguay,122.0
Latvia,122.0
Finland,127.0
Spain,127.0
Bolivia,129.0
Panama,129.0
Paraguay,130.0
Peru,133.0
Chile,133.0
Brazil,133.0
Ecuador,135.0
Colombia,137.0
Argentina,141.0
Italy,142.0
Poland,145.0
Honduras,151.0
Mexico,152.0
Guatemala,153.0
Netherlands,153.0
Nicaragua,154.0
Germany,166.0
Greece,166.0
Norway,166.0
Switzerland,172.0
United Kingdom,173.0
Ireland,174.0
Thailand,176.0
Taiwan,177.0
Portugal,177.0
Denmark,179.0
Austria,180.0
Philippines,185.0
Bulgaria,185.0
Sweden,187.0
Belgium,187.0
Costa Rica,187.0
El Salvador,188.0
New Zealand,192.0
Indonesia,195.0
Slovakia,197.0
Global,198.0
Canada,202.0
Hong Kong,208.0
United States,210.0
Australia,211.0
Hungary,214.0
Malaysia,216.0
Russia,225.0
Morocco,227.0
Czech Republic,228.0
Singapore,231.0
Israel,240.0
Romania,275.0
Vietnam,280.0
Ukraine,302.0
South Africa,316.0
Egypt,334.0
United Arab Emirates,372.0
Saudi Arabia,379.0
South Korea,418.0
India,455.0
