to_region,avg_days_to_popular
Luxembourg, 0.0
Russia,55.0
Turkey,61.0
Ukraine,63.0
Iceland,70.0
Paraguay,79.0
Estonia,82.0
Spain,83.0
Morocco,83.0
Germany,86.0
Argentina,86.0
Uruguay,87.0
Panama,91.0
Egypt,92.0
Lithuania,93.0
Brazil,96.0
France,97.0
Hong Kong,97.0
Latvia,97.0
Taiwan,101.0
Finland,103.0
Austria,103.0
Philippines,104.0
Mexico,105.0
Greece,106.0
Dominican Republic,106.0
Bulgaria,106.0
India,109.0
Netherlands,109.0
Japan,110.0
Chile,113.0
Denmark,113.0
Switzerland,114.0
Israel,115.0
Poland,117.0
Thailand,118.0
Italy,121.0
United Arab Emirates,121.0
Sweden,123.0
Global,129.0
Bolivia,129.0
Costa Rica,130.0
Belgium,132.0
United States,135.0
Peru,136.0
Ireland,136.0
United Kingdom,136.0
South Korea,137.0
Portugal,139.0
Singapore,140.0
Norway,140.0
Canada,148.0
Romania,150.0
Hungary,164.0
New Zealand,167.0
South Africa,168.0
Honduras,171.0
Slovakia,178.0
Australia,178.0
Guatemala,179.0
Colombia,179.0
El Salvador,183.0
Saudi Arabia,186.0
Ecuador,199.0
Malaysia,214.0
Czech Republic,223.0
Nicaragua,232.0
Vietnam,233.0
Indonesia,256.0
