to_region,avg_days_to_popular
United Kingdom,0.0
Luxembourg,84.0
Estonia,105.0
Iceland,106.0
Finland,126.0
Sweden,133.0
France,134.0
Norway,137.0
Taiwan,141.0
Turkey,142.0
Netherlands,142.0
Brazil,143.0
Latvia,144.0
Lithuania,147.0
Spain,150.0
Poland,151.0
Denmark,152.0
Dominican Republic,152.0
Germany,156.0
Greece,159.0
Italy,159.0
Global,163.0
Ireland,163.0
Panama,163.0
Uruguay,163.0
Paraguay,165.0
Switzerland,166.0
Canada,166.0
Austria,167.0
Colombia,169.0
Portugal,172.0
New Zealand,173.0
Hong Kong,174.0
Mexico,174.0
Belgium,175.0
Guatemala,176.0
Argentina,177.0
Thailand,177.0
Bolivia,178.0
Bulgaria,178.0
Ecuador,179.0
Philippines,180.0
Morocco,182.0
Chile,183.0
United States,184.0
Peru,186.0
Costa Rica,186.0
Slovakia,188.0
Israel,190.0
Czech Republic,190.0
Australia,191.0
Honduras,198.0
Singapore,200.0
Malaysia,201.0
Hungary,202.0
Indonesia,203.0
El Salvador,209.0
South Africa,210.0
Russia,216.0
Japan,219.0
Egypt,222.0
Romania,224.0
United Arab Emirates,242.0
Nicaragua,245.0
Ukraine,247.0
Vietnam,285.0
Saudi Arabia,293.0
South Korea,327.0
India,375.0
