to_region,avg_days_to_popular
Japan,0.0
Luxembourg,69.0
Estonia,91.0
Lithuania,131.0
Latvia,136.0
Finland,139.0
Italy,145.0
Iceland,145.0
Norway,148.0
Turkey,151.0
France,155.0
Netherlands,170.0
Sweden,172.0
Poland,176.0
Paraguay,180.0
Germany,180.0
Spain,181.0
Denmark,183.0
Philippines,187.0
Dominican Republic,187.0
Indonesia,190.0
Taiwan,193.0
Thailand,193.0
Austria,198.0
Greece,207.0
Panama,207.0
Guatemala,209.0
Malaysia,214.0
Slovakia,214.0
Brazil,214.0
Chile,215.0
Argentina,216.0
Nicaragua,218.0
Peru,220.0
Russia,222.0
Ecuador,225.0
Ireland,225.0
Mexico,225.0
United States,226.0
Uruguay,228.0
Portugal,228.0
Bolivia,230.0
Switzerland,230.0
United Kingdom,236.0
Czech Republic,240.0
Honduras,242.0
El Salvador,242.0
Canada,247.0
Hungary,247.0
Bulgaria,253.0
Morocco,254.0
Belgium,269.0
New Zealand,274.0
Hong Kong,276.0
Global,282.0
Colombia,282.0
Costa Rica,287.0
Singapore,289.0
Romania,290.0
Australia,295.0
Israel,300.0
Egypt,329.0
South Africa,333.0
Ukraine,348.0
Vietnam,372.0
South Korea,440.0
Saudi Arabia,446.0
United Arab Emirates,470.0
India,492.0
