to_region,avg_days_to_popular
Luxembourg,0.0
Russia,71.0
Ukraine,81.0
Estonia,82.0
Lithuania,95.0
Morocco,103.0
Germany,104.0
Latvia,111.0
Austria,119.0
Egypt,119.0
Nicaragua,129.0
Bulgaria,134.0
Italy,149.0
Iceland,152.0
Norway,165.0
Turkey,168.0
France,173.0
Greece,179.0
United States,184.0
Finland,192.0
Sweden,194.0
Netherlands,194.0
Philippines,205.0
Denmark,215.0
Romania,218.0
Poland,226.0
Slovakia,227.0
Switzerland,229.0
Dominican Republic,235.0
Portugal,238.0
Israel,241.0
Canada,244.0
Ireland,251.0
Spain,252.0
South Africa,257.0
Malaysia,260.0
Thailand,263.0
Panama,266.0
Paraguay,271.0
Hungary,274.0
Indonesia,276.0
United Kingdom,279.0
Brazil,302.0
Honduras,314.0
Guatemala,318.0
Chile,319.0
Argentina,324.0
Belgium,327.0
Mexico,328.0
New Zealand,329.0
Global,330.0
El Salvador,330.0
Czech Republic,343.0
Australia,349.0
United Arab Emirates,354.0
Saudi Arabia,362.0
Taiwan,368.0
Bolivia,374.0
Peru,377.0
Uruguay,379.0
Ecuador,383.0
Singapore,441.0
Hong Kong,463.0
Costa Rica,463.0
South Korea,487.0
India,527.0
Vietnam,528.0
Colombia,535.0
Japan,577.0
