to_region,avg_days_to_popular
United Kingdom,0.0
Luxembourg,75.0
Estonia,98.0
Iceland,121.0
Lithuania,123.0
Finland,127.0
Germany,134.0
Italy,134.0
Netherlands,136.0
France,141.0
Sweden,147.0
Turkey,148.0
Norway,150.0
Austria,154.0
Spain,156.0
Latvia,159.0
Taiwan,165.0
Dominican Republic,165.0
Poland,165.0
Paraguay,168.0
Greece,171.0
Denmark,171.0
Philippines,174.0
Ireland,174.0
Morocco,175.0
Panama,176.0
Switzerland,176.0
Indonesia,182.0
Brazil,182.0
Slovakia,184.0
Argentina,187.0
Bulgaria,188.0
Thailand,190.0
Chile,195.0
Canada,197.0
Uruguay,198.0
Czech Republic,198.0
Portugal,198.0
Russia,199.0
Nicaragua,200.0
Malaysia,203.0
Ecuador,207.0
Peru,208.0
Hungary,209.0
Japan,211.0
Bolivia,216.0
Mexico,218.0
Guatemala,219.0
United States,221.0
Hong Kong,224.0
Global,226.0
Belgium,227.0
Israel,227.0
New Zealand,227.0
South Africa,234.0
El Salvador,237.0
Honduras,240.0
Australia,240.0
Singapore,241.0
Costa Rica,243.0
Colombia,243.0
Romania,256.0
Ukraine,279.0
Vietnam,317.0
United Arab Emirates,335.0
Egypt,339.0
South Korea,352.0
India,375.0
Saudi Arabia,380.0
