region,avg_days_until_chart,median_days_until_chart,min_days_until_chart,max_days_until_chart
South Korea,124.46027397260274,0.0,0,1758
Ukraine,109.87586206896552,1.0,0,1717
Saudi Arabia,99.27453930048891,6.0,0,1644
Vietnam,95.04160385890866,1.0,0,1658
Egypt,86.84735576923077,1.0,0,1653
United Arab Emirates,78.04330708661418,0.0,0,1780
Russia,72.63536121673003,0.0,0,1746
India,70.66925536774782,1.0,0,1669
Lithuania,57.54047119197574,1.0,0,1734
Morocco,51.11643579183826,1.0,0,1735
Paraguay,50.768727272727276,1.0,0,1706
Nicaragua,49.24550561797753,6.0,0,1621
Indonesia,48.92580949386985,1.0,0,1644
Israel,47.83424303361103,1.0,0,1744
Japan,46.6974930362117,1.0,0,1715
Luxembourg,45.883964544722,4.0,0,1509
Latvia,44.16391359593393,0.0,0,1751
Chile,43.594491649575154,1.0,0,1638
Peru,42.618362831858406,1.0,0,1664
Mexico,42.504232609495766,1.0,0,1621
Bulgaria,42.38649877579573,0.0,0,1690
Philippines,42.09588597343699,1.0,0,1619
Bolivia,41.33029772329247,1.0,0,1664
Romania,39.692730346576504,0.0,0,1682
Turkey,39.40618161925602,0.0,0,1647
Ecuador,38.67095391211147,1.0,0,1664
Guatemala,38.65345869711216,1.0,0,1621
Honduras,37.993733873940286,1.0,0,1657
Costa Rica,37.50529695024077,0.0,0,1645
Brazil,37.35918565196316,1.0,0,1764
Hong Kong,37.06093717167472,1.0,0,1466
Thailand,35.87692958342144,1.0,0,1567
El Salvador,35.85914943425673,1.0,0,1621
Slovakia,34.57151162790698,0.0,0,1750
Dominican Republic,33.9451690821256,0.0,0,1655
Malaysia,32.66485384092454,1.0,0,1654
Estonia,32.661140197789415,0.0,0,1751
Czech Republic,32.18602573266619,0.0,0,1689
Singapore,32.12252384446075,1.0,0,1648
Portugal,31.78038674033149,0.0,0,1706
Greece,30.924558587479936,0.0,0,1639
Argentina,30.835758835758835,1.0,0,1638
Uruguay,30.12946306895612,1.0,0,1638
South Africa,29.625579598145286,0.0,0,1648
New Zealand,29.550163576881133,0.0,0,1636
Panama,29.303703703703704,0.0,0,1649
Ireland,28.54352068696331,0.0,0,1634
Hungary,27.447916666666668,0.0,0,1683
Australia,27.32461355529132,0.0,0,1635
Taiwan,26.512076624097723,1.0,0,1551
Poland,25.264618086040386,0.0,0,1750
Iceland,25.21871502126707,0.0,0,1640
Colombia,23.70388203430635,0.0,0,1608
Spain,23.50212249848393,1.0,0,1664
Austria,23.123764950598023,0.0,0,1754
Belgium,22.915311355311356,0.0,0,1654
Norway,21.779268793646448,0.0,0,1695
Global,21.01197604790419,0.0,0,1635
Netherlands,21.00522226467966,0.0,0,1713
Denmark,20.90540081521739,0.0,0,1648
United States,20.40287951502905,0.0,0,1749
Finland,19.571225623143484,0.0,0,1683
Italy,19.359801488833746,0.0,0,1648
France,19.1786941580756,0.0,0,1636
Canada,19.033952014486193,0.0,0,1635
United Kingdom,18.77672426976602,0.0,0,1635
Sweden,17.276950490008907,0.0,0,1696
Germany,16.618159062464443,0.0,0,1753
Switzerland,16.549325243226278,0.0,0,1697
