region,avg_days_in_chart,median_days_in_chart,min_days_in_chart,max_days_in_chart
Peru,97.67708333333333,36.0,1,1212
Ecuador,93.33148788927336,32.0,1,1145
El Salvador,93.31697968570333,22.0,1,1187
Paraguay,92.44333570919459,40.0,1,1073
Guatemala,88.89027186374058,23.0,1,1076
Bolivia,88.6559585492228,26.0,1,1174
Mexico,87.64831261101243,22.0,1,1507
Honduras,82.37852494577007,15.0,1,1169
Costa Rica,82.26767200754006,16.0,1,1438
Chile,80.5264064293915,26.0,1,1316
Colombia,77.10035005834305,15.0,1,1406
Argentina,76.72576900754498,27.0,1,995
Panama,75.18282473669997,20.0,1,1123
Uruguay,73.93491597759403,26.0,1,1011
Indonesia,71.96766394681173,16.0,1,1503
India,70.41117673784643,18.0,1,1008
Philippines,69.33666146645866,17.0,1,1466
Brazil,69.00589622641509,14.0,1,1104
Turkey,66.9270054165592,15.0,1,1476
Dominican Republic,66.51365471384469,14.0,1,1073
Egypt,63.42438732815302,13.0,1,762
New Zealand,60.77379134860051,14.0,1,1373
Israel,60.59064830751578,9.0,1,1349
Vietnam,59.35143198090692,11.0,1,1290
Singapore,58.78635931558935,14.0,1,1738
Spain,58.359464250541656,12.0,1,934
Malaysia,58.04527472527472,13.0,1,1731
Japan,57.616554925219184,13.0,1,1787
Australia,56.57394285714286,12.0,1,1282
Portugal,54.47142309167626,9.0,1,1226
Thailand,52.60369141435089,11.0,1,1279
Saudi Arabia,51.431928384931,8.0,1,911
Nicaragua,51.26744835287549,4.0,1,852
United Arab Emirates,48.0504347826087,9.0,1,911
Poland,46.343276036400404,9.0,1,1185
Italy,45.897238080543126,10.0,1,934
Ireland,45.53616292348687,9.0,1,1151
Hong Kong,45.26605128205128,9.0,1,1785
Greece,44.758445945945944,8.0,1,967
Morocco,43.81864716636198,8.0,1,659
Denmark,43.645294897282966,10.0,1,927
Romania,42.98288457524525,6.0,1,1141
Czech Republic,42.421143847487,7.0,1,1221
Global,42.08085808580858,7.0,1,1419
Hungary,41.647129805206,6.0,1,1070
Slovakia,40.00696667294295,8.0,1,928
Canada,39.6452846844196,8.0,1,1097
Belgium,38.71242298323542,7.0,1,1347
France,37.198322644301925,8.0,1,985
United Kingdom,36.92170924846855,6.0,1,1004
Ukraine,35.948911222780566,7.0,1,504
South Africa,35.906584992343035,5.0,1,1151
South Korea,35.80587833219412,10.0,1,302
Norway,35.09350301406564,6.0,1,1147
Austria,35.08655547131666,7.0,1,1139
Netherlands,34.86691449814126,7.0,1,1150
Finland,34.790497851908015,7.0,1,920
United States,33.762344538849895,6.0,1,1400
Taiwan,33.126048147146335,6.0,1,1370
Russia,32.357036485480265,6.0,1,504
Germany,32.30994799159013,7.0,1,767
Iceland,32.17015188201629,7.0,1,785
Sweden,32.0198659051403,7.0,1,916
Switzerland,28.931512475613513,6.0,1,1151
Latvia,28.604895104895103,5.0,1,929
Lithuania,26.675470831419386,5.0,1,734
Bulgaria,25.08509166378416,4.0,1,736
Estonia,24.31489971346705,4.0,1,883
Luxembourg,3.977812995245642,1.0,1,210
